AER KZN
ASF KZN
ASF MRV
CEK KZN
CEK OVB
DME KZN
DME NBC
DME TGK
DME UUA
EGO KGD
EGO KZN
GYD NBC
KGD EGO
KZN AER
KZN ASF
KZN CEK
KZN DME
KZN EGO
KZN LED
KZN SVX
LED KZN
LED NBC
LED UUA
MRV ASF
NBC DME
NBC GYD
NBC LED
NBC SVX
NJC SVX
NJC UUA
NUX SVX
OVB CEK
OVB SVX
SVX KZN
SVX NBC
SVX NJC
SVX NUX
SVX OVB
TGK DME
UUA DME
UUA LED
UUA NJC
BTK IKT
BTK OVB
HTA IKT
IKT BTK
IKT HTA
IKT KCK
IKT ODO
IKT OVB
IKT UKX
IKT ULK
IKT YKS
KCK IKT
MJZ OVB
ODO IKT
OVB BTK
OVB IKT
UKX IKT
ULK IKT
YKS IKT
AYP LIM
CUZ LIM
CUZ PEM
HUU LIM
IQT PCL
IQT TPP
LIM AYP
LIM CUZ
LIM HUU
LIM PCL
LIM TPP
PCL IQT
PCL LIM
PCL TPP
PEM CUZ
TPP IQT
TPP LIM
TPP PCL
ABJ BOY
ABJ OUA
ACC OUA
BKO ABJ
BKO DKR
BKO OUA
BOY ABJ
BOY OUA
COO LFW
COO OUA
DKR BKO
DKR OUA
LFW OUA
NIM OUA
OUA ABJ
OUA ACC
OUA BKO
OUA BOY
OUA COO
OUA DKR
OUA LFW
OUA NIM
BOG GYE
BOG UIO
CLO GYE
GYE BOG
GYE CLO
GYE SCY
GYE UIO
OCC UIO
SCY GYE
UIO BOG
UIO GYE
UIO OCC
BDS ZRH
BOD ZRH
BRS ZRH
GVA LPA
LCA ZRH
LPA ZRH
RMF ZRH
TFS GVA
ZRH BDS
ZRH BOD
ZRH BRS
ZRH LCA
ZRH LPA
ZRH RMF
AJR LYC
ARN GEV
ARN HAD
ARN JKG
ARN KRF
ARN KSD
ARN LYC
ARN MHQ
ARN OER
ARN POR
ARN TRF
ARN VBY
ARN VHM
ARN VXO
GEV ARN
GEV KRF
HAD ARN
HAD JKG
HAD VXO
HMV VHM
JKG ARN
JKG HAD
KOK POR
KRF ARN
KRF GEV
KSD ARN
LYC AJR
LYC ARN
MHQ ARN
MHQ TKU
OER ARN
OSL VXO
POR ARN
POR KOK
TKU MHQ
TRF ARN
VBY ARN
VHM ARN
VHM HMV
VXO ARN
VXO OSL
ADQ AOS
ADQ KKB
ADQ KLN
ADQ KOZ
ADQ OLH
AOS KZB
KKB SYB
KLN KYK
KOZ ORI
SYB KPR
BSO MNL
BXU MNL
CBO MNL
CGY MNL
CRM MNL
DGT MNL
DWC MNL
GES MNL
KLO MNL
LGP MNL
MNL BSO
MNL BXU
MNL CBO
MNL CGY
MNL CRM
MNL DGT
MNL DWC
MNL GES
MNL KLO
MNL LGP
MNL MPH
MNL OZC
MNL PPS
MNL RXS
MNL SUG
MNL TUG
MNL ZAM
MPH MNL
OZC MNL
PPS MNL
RXS MNL
SUG MNL
TUG MNL
ZAM MNL
AUX PMW
BRA BSB
BRA SSA
BSB BRA
BSB OPS
BSB RAO
CAC GRU
CGB GYN
CGB OPS
CGR DOU
DOU CGR
DOU GRU
GIG RAO
GRU CAC
GRU DOU
GRU RAO
GRU UBA
GRU UDI
GRU VDC
GYN CGB
GYN PMW
GYN RAO
GYN UDI
OPS BSB
OPS CGB
PLU RAO
PMW AUX
PMW GYN
RAO BSB
RAO GIG
RAO GRU
RAO GYN
RAO PLU
RAO SJP
RAO UDI
SJP RAO
SSA BRA
SSA VDC
UBA GRU
UBA UDI
UDI GRU
UDI GYN
UDI RAO
UDI UBA
VDC GRU
VDC SSA
BRL ORD
BRL STL
DEC ORD
DEC STL
JBR STL
ORD BRL
ORD DEC
STL BRL
STL DEC
STL JBR
CGA HYL
CGA KTN
HYL CGA
HYL KTB
HYL KTN
KTB HYL
KTB KTN
KTN CGA
KTN HYL
KTN KTB
KTN MTM
MTM KTN
ACC DKR
ACC LOS
ACC ROB
BCN BJL
BJL BCN
BJL DKR
BJL FNA
CKY OXB
DKR ACC
DKR BJL
DKR DLA
DKR FNA
DKR LOS
DKR OXB
DLA DKR
DLA LOS
FNA BJL
FNA DKR
FNA LGW
FNA ROB
LGW FNA
LOS ACC
LOS DKR
LOS DLA
LOS ROB
OXB CKY
OXB DKR
ROB ACC
ROB FNA
ROB LOS
AKV YIK
AKV YPX
XGR YVP
YGL YGW
YGL YPX
YGL YUL
YGW YGL
YGW YPH
YGW YSK
YGW YUD
YGW YUL
YGW YUY
YIK AKV
YIK YZG
YKG YPJ
YKG YQC
YKG YVP
YKL YQB
YKL YVP
YKL YWK
YKL YZV
YPH YPX
YPH YUD
YPH YVP
YPJ YKG
